team,posses_total,media_passes_por_posse,mediana_passes_por_posse,posses_longas_5plus,duracao_media_min_posse,posses_por_jogo_media,avanco_medio_m,pct_progressivos,passes_completos,pct_esq,pct_dir,pct_cruzamentos,cruzamentos,total_passes_para_area,x_medio_recuperacao,pressure_count,n_eventos_defensivos,chutes_por_jogo,xg_por_jogo,gols_total
Barcelona,187,7.45,4.0,0.5,0.4,93.5,1.83,0.2,1236,0.4,0.6,0.16,7,44,54.6,194,341,16.0,1.6,5
Real Madrid,189,4.37,3.0,0.37,0.25,94.5,4.35,0.3,662,0.55,0.45,0.16,7,45,51.56,315,464,14.0,1.33,2
